City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
109,dalian,38.9122,121.6022,288.11,94,4,2.0,CN,1698792658
110,mogadishu,2.0371,45.3438,299.93,82,92,2.77,SO,1698792658
111,da lat,11.9465,108.4419,288.61,98,97,1.66,VN,1698792659
112,san mariano,7.5,126.0,297.99,83,26,0.21,PH,1698792659
113,kanker,20.2719,81.4931,290.63,86,6,1.43,IN,1698792659
114,pangoa,-12.1167,-73.0,295.19,97,97,0.69,PE,1698792660
115,novyy urgal,51.0736,132.5642,267.6,59,4,0.9,RU,1698792660
116,tongouson,5.0214,120.1328,301.79,68,84,2.22,PH,1698792661
117,berezovyy,51.6667,135.7,270.06,58,45,1.29,RU,1698792661
118,vila do maio,15.1333,-23.2167,300.59,84,100,3.54,CV,1698792662
119,invercargill,-46.4,168.35,285.94,93,43,3.58,NZ,1698792663
120,poxoreo,-15.8372,-54.3892,304.8,33,94,1.16,BR,1698792663
121,dryden,49.7833,-92.7503,268.31,74,100,4.12,CA,1698792529
122,tosontsengel,48.7567,98.2839,275.72,81,100,5.18,MN,1698792664
123,puerto ayora,-0.7393,-90.3518,301.13,91,81,2.68,EC,1698792664
124,la foa,-21.7108,165.8276,296.8,49,7,1.63,NC,1698792665
125,aasiaat,68.7098,-52.8699,275.53,65,95,10.11,GL,1698792665
126,necochea,-38.5473,-58.7368,280.51,69,93,3.7,AR,1698792666
127,rongelap,11.1635,166.8941,301.67,74,99,6.24,MH,1698792666
128,lorengau,-2.0226,147.2712,301.55,72,44,0.95,PG,1698792667
129,hengchun,22.0042,120.7439,298.05,74,55,7.76,TW,1698792667
130,amursk,50.2261,136.8994,275.36,81,100,0.76,RU,1698792668
